step,time,uav0_x,uav0_y,uav0_yaw,uav0_state,uav0_min_obs_dist,uav0_path_length,uav1_x,uav1_y,uav1_yaw,uav1_state,uav1_min_obs_dist,uav1_path_length,uav2_x,uav2_y,uav2_yaw,uav2_state,uav2_min_obs_dist,uav2_path_length,coverage,min_inter_uav_dist,replan_count,collision_flag
105,21.0,32.12,25.39,-1.365,explore,1.09,0.0,37.74,57.54,0.614,explore,0.99,0.0,42.18,84.25,-0.000,explore,15.23,0.0,0.3555,22.54,35,0
106,21.200000000000003,32.24,24.80,-1.365,explore,0.86,0.0,38.23,57.88,0.614,explore,0.57,0.0,42.61,84.66,0.761,explore,15.71,0.0,0.3604,22.81,35,0
107,21.400000000000002,32.06,24.23,-1.876,explore,0.86,0.0,38.72,58.23,0.614,explore,0.57,0.0,43.04,85.08,0.761,explore,16.18,0.0,0.3656,22.81,35,0
108,21.6,31.88,23.66,-1.876,explore,0.86,0.0,39.15,58.65,0.783,explore,0.57,0.0,43.48,85.49,0.761,explore,16.66,0.0,0.3669,22.81,35,0
109,21.8,31.57,23.14,-2.105,explore,0.86,0.0,39.57,59.08,0.783,explore,0.57,0.0,43.90,85.91,0.782,explore,17.15,0.0,0.3681,22.81,35,0
110,22.0,31.27,22.63,-2.105,explore,1.09,0.0,40.00,59.50,0.783,explore,0.99,0.0,44.33,86.34,0.782,explore,17.15,0.0,0.3695,22.54,35,0
111,22.200000000000003,30.96,22.11,-2.105,explore,1.06,0.0,40.42,59.92,0.785,explore,1.01,0.0,44.76,86.76,0.782,explore,17.71,0.0,0.3702,22.68,35,0
112,22.400000000000002,30.38,21.99,-2.935,explore,1.11,0.0,40.85,60.35,0.785,explore,1.14,0.0,45.18,87.18,0.782,explore,18.27,0.0,0.3750,22.81,35,0
113,22.6,29.79,21.86,-2.935,explore,1.06,0.0,41.27,60.77,0.785,explore,0.98,0.0,45.61,87.61,0.785,explore,18.87,0.0,0.3783,23.09,35,0
114,22.8,29.39,21.41,-2.291,explore,1.09,0.0,41.76,60.43,-0.604,explore,0.93,0.0,46.03,88.03,0.785,explore,19.46,0.0,0.3834,23.39,35,0
115,23.0,29.34,20.81,-1.656,explore,1.19,0.0,42.26,60.09,-0.604,explore,0.93,0.0,46.58,87.78,-0.426,explore,19.88,0.0,0.3876,23.14,35,0
116,23.200000000000003,29.29,20.22,-1.656,explore,0.88,0.0,42.75,59.75,-0.604,explore,0.51,0.0,47.12,87.53,-0.426,explore,20.30,0.0,0.3904,23.65,35,0
117,23.400000000000002,29.28,19.62,-1.591,explore,0.63,0.0,43.25,59.42,-0.588,explore,0.51,0.0,47.67,87.29,-0.426,explore,20.73,0.0,0.3939,23.92,35,0
118,23.6,29.27,19.02,-1.591,explore,0.63,0.0,43.75,59.08,-0.588,explore,0.93,0.0,48.10,86.87,-0.771,explore,20.73,0.0,0.3964,23.65,35,0
119,23.8,29.25,18.42,-1.591,explore,0.69,0.0,44.25,58.75,-0.588,explore,0.97,0.0,48.53,86.45,-0.771,explore,21.33,0.0,0.3968,24.26,35,0
120,24.0,29.25,17.82,-1.573,explore,1.09,0.0,44.75,58.42,-0.588,explore,0.97,0.0,48.96,86.03,-0.771,explore,21.33,0.0,0.4026,24.03,35,0
121,24.200000000000003,29.25,17.22,-1.573,explore,0.93,0.0,45.25,58.09,-0.588,explore,1.12,0.0,49.45,85.68,-0.621,explore,21.93,0.0,0.4037,25.01,35,0
122,24.400000000000002,29.68,16.80,-0.774,explore,0.85,0.0,45.75,57.75,-0.588,explore,1.38,0.0,49.94,85.33,-0.621,explore,22.53,0.0,0.4094,26.00,35,0
123,24.6,30.11,16.38,-0.774,explore,0.85,0.0,46.25,58.08,0.585,explore,1.71,0.0,50.34,85.77,0.823,explore,23.13,0.0,0.4132,27.01,35,0
124,24.8,30.54,15.96,-0.774,explore,0.59,0.0,46.75,58.42,0.585,explore,2.10,0.0,50.75,86.21,0.823,explore,23.61,0.0,0.4174,28.18,35,0
125,25.0,30.96,15.53,-0.784,explore,0.59,0.0,47.25,58.75,0.585,explore,2.10,0.0,51.16,86.65,0.823,explore,23.61,0.0,0.4205,28.18,35,0
126,25.200000000000003,31.39,15.11,-0.784,explore,0.52,0.0,47.67,59.17,0.785,explore,2.47,0.0,51.58,87.08,0.788,explore,23.76,0.0,0.4205,29.03,35,0
127,25.400000000000002,31.81,14.69,-0.784,explore,0.54,0.0,48.09,59.60,0.785,explore,2.08,0.0,52.01,87.50,0.788,explore,23.92,0.0,0.4243,28.50,35,0
128,25.6,32.24,14.26,-0.784,explore,0.64,0.0,48.52,60.02,0.785,explore,1.75,0.0,52.43,87.93,0.788,explore,24.09,0.0,0.4286,27.99,35,0
129,25.8,32.66,13.84,-0.785,explore,0.83,0.0,48.94,60.44,0.785,explore,1.47,0.0,52.85,88.35,0.786,explore,24.28,0.0,0.4323,27.50,35,0
130,26.0,33.09,13.41,-0.785,explore,0.83,0.0,49.37,60.87,0.785,explore,1.47,0.0,53.28,88.78,0.786,explore,24.28,0.0,0.4351,27.50,35,0
131,26.200000000000003,33.68,13.36,-0.098,explore,0.79,0.0,49.79,61.29,0.785,explore,1.81,0.0,53.88,88.77,-0.019,explore,24.81,0.0,0.4351,27.56,35,0
132,26.400000000000002,34.28,13.30,-0.098,explore,0.83,0.0,50.39,61.27,-0.029,explore,2.20,0.0,54.48,88.76,-0.019,explore,25.35,0.0,0.4441,27.62,35,0
133,26.6,34.82,13.56,0.451,explore,0.83,0.0,50.99,61.26,-0.029,explore,2.63,0.0,55.05,88.59,-0.278,explore,25.88,0.0,0.4475,27.67,35,0
134,26.8,35.36,13.82,0.451,explore,0.83,0.0,51.59,61.25,-0.004,explore,3.03,0.0,55.63,88.43,-0.278,explore,26.43,0.0,0.4498,27.67,35,0
135,27.0,35.90,14.08,0.451,explore,0.83,0.0,52.19,61.25,-0.004,explore,3.46,0.0,56.21,88.26,-0.278,explore,26.98,0.0,0.4520,27.67,35,0
136,27.200000000000003,36.46,14.28,0.347,explore,0.83,0.0,52.75,61.25,-0.004,explore,3.91,0.0,56.71,87.93,-0.581,explore,27.53,0.0,0.4538,27.67,35,0
137,27.400000000000002,37.03,14.49,0.347,explore,0.83,0.0,53.32,61.06,-0.322,explore,4.39,0.0,57.21,87.60,-0.581,explore,28.08,0.0,0.4557,27.67,35,0
138,27.6,37.59,14.69,0.347,explore,0.83,0.0,53.89,60.87,-0.322,explore,4.88,0.0,57.71,87.27,-0.581,explore,28.63,0.0,0.4575,27.67,35,0
139,27.8,38.11,14.40,-0.517,explore,0.83,0.0,54.34,60.48,-0.716,explore,5.39,0.0,58.14,86.85,-0.781,explore,29.19,0.0,0.4591,27.67,35,0
140,28.0,38.64,14.10,-0.517,explore,0.83,0.0,54.79,60.08,-0.716,explore,5.39,0.0,58.66,87.14,0.509,explore,29.19,0.0,0.4608,27.67,35,0
141,28.200000000000003,39.16,13.80,-0.517,explore,0.81,0.0,55.09,60.60,1.050,explore,5.80,0.0,59.19,87.44,0.509,explore,29.18,0.0,0.4608,27.77,35,0
142,28.400000000000002,39.59,13.38,-0.773,explore,0.88,0.0,55.39,61.12,1.050,explore,6.23,0.0,59.71,87.73,0.509,explore,29.19,0.0,0.4678,27.87,35,0
143,28.6,40.02,12.97,-0.773,explore,1.03,0.0,55.69,61.64,1.050,explore,6.68,0.0,60.21,88.06,0.586,explore,29.20,0.0,0.4703,27.97,35,0
